Q2 P'x dP'x P'z dP'z ff_ratio stat_error sys_error R dR
0.8 1.062± 0.009 0.956± 0.010 0.901± 0.007 0.010 0.900± 0.012
1.3 1.064± 0.014 0.954± 0.015 0.858± 0.008 0.019 0.897± 0.019
