# File DIXEFT-Parameterization.dat
#
#
# Content: Table of coefficient functions in DIXEFT form factor parameterization
# (A_E^p, A_E^n, ... Bbar_M^n) as functions of Q2. 
#
# The squared nucleon radii in the parameterization are in units of fm^2, so the functions
# B_E, Bbar_E, ... Bbar_M^n are in units of fm^{-2}
#
#
# Index:
# Column  1   Q2 [GeV^2]
# Column  2   A_E^p     (G_E^p, radius-independent term)
# Column  3   A_E^n     (G_E^n, radius-independent term)
# Column  4   B_E       (G_E^p, coefficient of r2_E^p; G_E^n, coefficient of r2_E^n)
# Column  5   Bbar_E    (G_E^p, coefficient of r2_E^n; G_E^n, coefficient of r2_E^p)
# Column  6   A_M^p     (G_M^p, radius-independent term)
# Column  7   B_M^p     (G_M^p, coefficient of r2_M^p)
# Column  8   Bbar_M^p  (G_M^p, coefficient of r2_M^n)
# Column  9   A_M^n     (G_M^n, radius-independent term)
# Column 10   Bbar_M^n  (G_M^n, coefficient of r2_M^p)
# Column 11   B_M^n     (G_M^n, coefficient of r2_M^n)
#
 0.09250  1.00058 -0.01128 -0.32068  0.00370  2.81216 -0.88103 -0.01747 -1.94515  0.02550  0.60344
 0.09500  1.00053 -0.01175 -0.32758  0.00389  2.81285 -0.90036 -0.01780 -1.94628  0.02599  0.61668
 0.09750  1.00048 -0.01223 -0.33439  0.00408  2.81354 -0.91947 -0.01814 -1.94743  0.02648  0.62977
 0.10000  1.00042 -0.01271 -0.34113  0.00428  2.81422 -0.93837 -0.01848 -1.94857  0.02699  0.64271
 0.10250  1.00035 -0.01320 -0.34780  0.00448  2.81489 -0.95706 -0.01884 -1.94971  0.02751  0.65552
 0.10500  1.00029 -0.01369 -0.35439  0.00469  2.81556 -0.97554 -0.01920 -1.95085  0.02804  0.66817
 0.10750  1.00021 -0.01418 -0.36091  0.00490  2.81621 -0.99382 -0.01957 -1.95199  0.02858  0.68069
 0.11000  1.00013 -0.01468 -0.36735  0.00511  2.81686 -1.01189 -0.01995 -1.95313  0.02913  0.69307
 0.12000  0.99977 -0.01669 -0.39242  0.00600  2.81935 -1.08220 -0.02153 -1.95766  0.03144  0.74123
 0.13000  0.99931 -0.01874 -0.41640  0.00695  2.82168 -1.14947 -0.02323 -1.96213  0.03391  0.78731
 0.14000  0.99878 -0.02082 -0.43935  0.00794  2.82382 -1.21385 -0.02502 -1.96652  0.03653  0.83140
 0.15000  0.99815 -0.02292 -0.46132  0.00898  2.82577 -1.27548 -0.02690 -1.97082  0.03928  0.87361
 0.16000  0.99745 -0.02504 -0.48235  0.01006  2.82751 -1.33448 -0.02888 -1.97499  0.04216  0.91402
 0.17000  0.99667 -0.02716 -0.50248  0.01118  2.82905 -1.39099 -0.03093 -1.97904  0.04516  0.95273
 0.18000  0.99581 -0.02928 -0.52177  0.01234  2.83039 -1.44513 -0.03305 -1.98295  0.04826  0.98981
 0.19000  0.99487 -0.03141 -0.54025  0.01352  2.83151 -1.49700 -0.03524 -1.98672  0.05145  1.02533
 0.20000  0.99386 -0.03352 -0.55795  0.01474  2.83242 -1.54670 -0.03749 -1.99034  0.05474  1.05938
 0.21000  0.99278 -0.03563 -0.57492  0.01598  2.83312 -1.59435 -0.03980 -1.99380  0.05810  1.09201
 0.22000  0.99163 -0.03773 -0.59119  0.01725  2.83361 -1.64003 -0.04215 -1.99711  0.06154  1.12330
 0.23000  0.99042 -0.03981 -0.60678  0.01854  2.83390 -1.68382 -0.04455 -2.00026  0.06504  1.15329
 0.24000  0.98914 -0.04188 -0.62173  0.01985  2.83399 -1.72582 -0.04699 -2.00325  0.06860  1.18206
 0.25000  0.98781 -0.04392 -0.63607  0.02117  2.83388 -1.76609 -0.04946 -2.00607  0.07221  1.20964
 0.26000  0.98641 -0.04595 -0.64982  0.02251  2.83357 -1.80473 -0.05196 -2.00874  0.07587  1.23610
 0.27000  0.98496 -0.04796 -0.66300  0.02387  2.83308 -1.84178 -0.05449 -2.01125  0.07956  1.26149
 0.28000  0.98346 -0.04994 -0.67565  0.02523  2.83240 -1.87734 -0.05705 -2.01361  0.08329  1.28584
 0.29000  0.98191 -0.05190 -0.68779  0.02660  2.83154 -1.91145 -0.05962 -2.01580  0.08705  1.30920
 0.30000  0.98031 -0.05384 -0.69943  0.02798  2.83050 -1.94417 -0.06221 -2.01785  0.09083  1.33162
 0.31000  0.97866 -0.05575 -0.71060  0.02936  2.82930 -1.97558 -0.06481 -2.01974  0.09463  1.35312
 0.32000  0.97697 -0.05764 -0.72131  0.03075  2.82793 -2.00571 -0.06742 -2.02148  0.09844  1.37376
 0.33000  0.97524 -0.05950 -0.73159  0.03214  2.82639 -2.03462 -0.07004 -2.02308  0.10226  1.39357
 0.34000  0.97346 -0.06133 -0.74145  0.03354  2.82471 -2.06236 -0.07267 -2.02453  0.10610  1.41257
 0.35000  0.97165 -0.06313 -0.75091  0.03493  2.82287 -2.08899 -0.07529 -2.02585  0.10993  1.43080
 0.36000  0.96981 -0.06491 -0.75999  0.03632  2.82089 -2.11453 -0.07792 -2.02702  0.11377  1.44830
 0.37000  0.96793 -0.06666 -0.76870  0.03772  2.81876 -2.13904 -0.08055 -2.02806  0.11760  1.46509
 0.38000  0.96602 -0.06839 -0.77705  0.03911  2.81650 -2.16256 -0.08317 -2.02897  0.12143  1.48119
 0.39000  0.96408 -0.07009 -0.78506  0.04049  2.81411 -2.18512 -0.08578 -2.02975  0.12524  1.49665
 0.40000  0.96211 -0.07175 -0.79275  0.04187  2.81159 -2.20676 -0.08839 -2.03041  0.12905  1.51147
 0.41000  0.96011 -0.07340 -0.80012  0.04325  2.80895 -2.22752 -0.09099 -2.03094  0.13285  1.52569
 0.42000  0.95809 -0.07501 -0.80719  0.04462  2.80619 -2.24744 -0.09358 -2.03136  0.13663  1.53933
 0.43000  0.95604 -0.07660 -0.81396  0.04598  2.80331 -2.26653 -0.09616 -2.03165  0.14039  1.55241
 0.44000  0.95398 -0.07816 -0.82046  0.04734  2.80033 -2.28484 -0.09872 -2.03184  0.14414  1.56495
 0.45000  0.95189 -0.07969 -0.82668  0.04868  2.79724 -2.30239 -0.10127 -2.03191  0.14786  1.57697
 0.46000  0.94978 -0.08120 -0.83265  0.05002  2.79405 -2.31922 -0.10381 -2.03188  0.15156  1.58849
 0.47000  0.94765 -0.08268 -0.83837  0.05135  2.79075 -2.33534 -0.10633 -2.03174  0.15524  1.59954
 0.48000  0.94550 -0.08413 -0.84384  0.05268  2.78737 -2.35079 -0.10883 -2.03150  0.15890  1.61012
 0.49000  0.94334 -0.08556 -0.84909  0.05399  2.78389 -2.36559 -0.11132 -2.03116  0.16253  1.62025
 0.50000  0.94116 -0.08697 -0.85411  0.05529  2.78033 -2.37976 -0.11378 -2.03073  0.16613  1.62996
 0.51000  0.93897 -0.08834 -0.85891  0.05658  2.77668 -2.39332 -0.11623 -2.03020  0.16970  1.63925
 0.52000  0.93676 -0.08970 -0.86351  0.05786  2.77295 -2.40630 -0.11866 -2.02958  0.17324  1.64814
 0.53000  0.93454 -0.09103 -0.86790  0.05913  2.76915 -2.41872 -0.12107 -2.02888  0.17676  1.65665
 0.54000  0.93232 -0.09233 -0.87211  0.06039  2.76527 -2.43060 -0.12345 -2.02808  0.18024  1.66478
 0.55000  0.93008 -0.09361 -0.87612  0.06164  2.76132 -2.44196 -0.12582 -2.02721  0.18369  1.67256
 0.56000  0.92783 -0.09486 -0.87996  0.06287  2.75729 -2.45281 -0.12816 -2.02625  0.18711  1.67999
 0.57000  0.92557 -0.09610 -0.88362  0.06410  2.75321 -2.46317 -0.13048 -2.02522  0.19050  1.68709
 0.58000  0.92330 -0.09731 -0.88712  0.06531  2.74906 -2.47307 -0.13278 -2.02411  0.19385  1.69387
 0.59000  0.92103 -0.09849 -0.89045  0.06651  2.74485 -2.48251 -0.13505 -2.02293  0.19717  1.70034
 0.60000  0.91875 -0.09966 -0.89363  0.06769  2.74058 -2.49151 -0.13730 -2.02167  0.20046  1.70650
 0.61000  0.91646 -0.10080 -0.89666  0.06887  2.73626 -2.50009 -0.13953 -2.02035  0.20371  1.71238
 0.62000  0.91417 -0.10192 -0.89954  0.07003  2.73188 -2.50826 -0.14173 -2.01896  0.20693  1.71798
 0.63000  0.91188 -0.10302 -0.90229  0.07118  2.72746 -2.51604 -0.14391 -2.01750  0.21011  1.72330
 0.64000  0.90958 -0.10410 -0.90489  0.07231  2.72298 -2.52344 -0.14607 -2.01598  0.21326  1.72837
 0.65000  0.90727 -0.10515 -0.90737  0.07344  2.71846 -2.53047 -0.14820 -2.01440  0.21637  1.73318
 0.66000  0.90497 -0.10619 -0.90972  0.07455  2.71389 -2.53714 -0.15031 -2.01276  0.21945  1.73775
 0.67000  0.90266 -0.10721 -0.91194  0.07564  2.70929 -2.54347 -0.15239 -2.01106  0.22249  1.74209
 0.68000  0.90035 -0.10820 -0.91405  0.07673  2.70464 -2.54946 -0.15445 -2.00931  0.22550  1.74619
 0.69000  0.89804 -0.10918 -0.91604  0.07780  2.69995 -2.55513 -0.15649 -2.00750  0.22847  1.75008
 0.70000  0.89572 -0.11014 -0.91792  0.07886  2.69523 -2.56050 -0.15850 -2.00564  0.23141  1.75375
 0.71000  0.89341 -0.11108 -0.91970  0.07991  2.69047 -2.56556 -0.16048 -2.00373  0.23431  1.75722
 0.72000  0.89110 -0.11200 -0.92137  0.08094  2.68568 -2.57033 -0.16244 -2.00177  0.23717  1.76049
 0.73000  0.88879 -0.11290 -0.92294  0.08196  2.68086 -2.57482 -0.16438 -1.99976  0.24000  1.76356
 0.74000  0.88647 -0.11378 -0.92442  0.08297  2.67601 -2.57904 -0.16630 -1.99771  0.24279  1.76645
 0.75000  0.88416 -0.11465 -0.92580  0.08397  2.67113 -2.58299 -0.16819 -1.99561  0.24555  1.76916
 0.76000  0.88185 -0.11550 -0.92709  0.08495  2.66622 -2.58669 -0.17005 -1.99347  0.24828  1.77170
 0.77000  0.87955 -0.11633 -0.92829  0.08592  2.66129 -2.59015 -0.17189 -1.99129  0.25096  1.77406
 0.78000  0.87724 -0.11715 -0.92941  0.08688  2.65633 -2.59336 -0.17371 -1.98906  0.25362  1.77626
 0.79000  0.87494 -0.11795 -0.93045  0.08782  2.65136 -2.59635 -0.17550 -1.98680  0.25624  1.77831
 0.80000  0.87264 -0.11873 -0.93141  0.08875  2.64636 -2.59911 -0.17727 -1.98450  0.25882  1.78020
 0.81000  0.87034 -0.11950 -0.93229  0.08967  2.64134 -2.60165 -0.17902 -1.98217  0.26137  1.78194
 0.82000  0.86805 -0.12025 -0.93309  0.09058  2.63630 -2.60399 -0.18074 -1.97980  0.26389  1.78354
 0.83000  0.86576 -0.12098 -0.93382  0.09148  2.63125 -2.60612 -0.18245 -1.97739  0.26637  1.78500
 0.84000  0.86347 -0.12171 -0.93449  0.09236  2.62617 -2.60805 -0.18412 -1.97496  0.26882  1.78633
 0.85000  0.86119 -0.12241 -0.93508  0.09323  2.62109 -2.60980 -0.18578 -1.97249  0.27124  1.78752
 0.86000  0.85891 -0.12310 -0.93561  0.09409  2.61599 -2.61136 -0.18741 -1.96999  0.27362  1.78859
 0.87000  0.85664 -0.12378 -0.93608  0.09494  2.61087 -2.61274 -0.18902 -1.96746  0.27597  1.78954
 0.88000  0.85437 -0.12444 -0.93649  0.09578  2.60575 -2.61396 -0.19061 -1.96490  0.27829  1.79037
 0.89000  0.85210 -0.12509 -0.93683  0.09660  2.60061 -2.61500 -0.19217 -1.96232  0.28057  1.79108
 0.90000  0.84984 -0.12573 -0.93712  0.09742  2.59546 -2.61588 -0.19371 -1.95971  0.28282  1.79169
 0.91000  0.84759 -0.12635 -0.93735  0.09822  2.59031 -2.61660 -0.19524 -1.95707  0.28505  1.79218
 0.92000  0.84534 -0.12696 -0.93753  0.09901  2.58514 -2.61718 -0.19673 -1.95441  0.28723  1.79257
 0.93000  0.84310 -0.12756 -0.93766  0.09979  2.57997 -2.61760 -0.19821 -1.95173  0.28939  1.79286
 0.94000  0.84086 -0.12814 -0.93774  0.10056  2.57479 -2.61788 -0.19967 -1.94902  0.29152  1.79306
 0.95000  0.83863 -0.12871 -0.93776  0.10131  2.56960 -2.61803 -0.20111 -1.94629  0.29362  1.79316
 0.96000  0.83640 -0.12927 -0.93774  0.10206  2.56441 -2.61804 -0.20252 -1.94354  0.29568  1.79316
 0.97000  0.83418 -0.12982 -0.93767  0.10279  2.55922 -2.61792 -0.20392 -1.94077  0.29772  1.79308
 0.98000  0.83197 -0.13035 -0.93756  0.10352  2.55402 -2.61767 -0.20529 -1.93798  0.29973  1.79291
 0.99000  0.82976 -0.13088 -0.93741  0.10423  2.54882 -2.61730 -0.20665 -1.93517  0.30170  1.79266
 1.00000  0.82756 -0.13139 -0.93721  0.10494  2.54361 -2.61682 -0.20798 -1.93234  0.30365  1.79233
