# E, Spec, Angle, Q2, CS/DipCS, dSCS/DipCS, MinCut, MaxCut, TPE, Sys_Scal, Norm
228.900000 W 80.000000 7.210000e-02 9.534406e-01 1.144129e-02 1 1 1.009000 1 34
228.900000 W 90.000000 8.420000e-02 9.554720e-01 1.346785e-02 1 1 1.009500 1 34
228.900000 W 110.000000 1.059000e-01 9.462044e-01 1.334848e-02 1 1 1.010300 1 34
228.900000 W 120.000000 1.151000e-01 9.426634e-01 1.232460e-02 1 1 1.010600 1 34
228.900000 W 130.000000 1.229000e-01 9.496137e-01 1.352793e-02 1 1 1.010900 1 34
228.900000 W 140.000000 1.293000e-01 9.644272e-01 1.348710e-02 1 1 1.011100 1 34
249.600000 W 28.000000 1.410000e-02 9.646590e-01 1.891470e-02 1 1 1.004500 1 34
249.600000 W 35.000000 2.150000e-02 9.677655e-01 1.092834e-02 1 1 1.005300 1 34
249.600000 W 40.000000 2.740000e-02 9.713012e-01 1.292053e-02 1 1 1.005800 1 34
249.600000 W 45.000000 3.390000e-02 9.653809e-01 1.076522e-02 1 1 1.006300 1 34
249.600000 W 50.000000 4.070000e-02 9.516625e-01 1.310252e-02 1 1 1.006800 1 34
249.600000 W 55.000000 4.770000e-02 9.503092e-01 1.307549e-02 1 1 1.007200 1 34
249.600000 W 60.000000 5.500000e-02 9.551827e-01 1.160123e-02 1 1 1.007600 1 34
249.600000 W 65.000000 6.240000e-02 9.640506e-01 1.292612e-02 1 1 1.008000 1 34
249.600000 W 70.000000 6.980000e-02 9.493764e-01 1.029158e-02 1 1 1.008400 1 34
249.600000 W 75.000000 7.710000e-02 9.569518e-01 1.401980e-02 1 1 1.008700 1 34
249.600000 W 80.000000 8.440000e-02 9.271052e-01 1.406399e-02 1 1 1.009000 1 34
249.600000 W 90.000000 9.840000e-02 9.419180e-01 1.416821e-02 1 1 1.009500 1 34
249.600000 W 100.000000 1.114000e-01 9.324999e-01 1.595682e-02 1 1 1.009900 1 34
249.600000 W 110.000000 1.232000e-01 9.394864e-01 1.622782e-02 1 1 1.010300 1 34
249.600000 W 120.000000 1.336000e-01 9.274993e-01 1.488237e-02 1 1 1.010600 1 34
249.600000 W 130.000000 1.424000e-01 9.374221e-01 1.297293e-02 1 1 1.010900 1 34
249.600000 W 140.000000 1.497000e-01 9.635385e-01 1.605629e-02 1 1 1.011100 1 34
275.300000 W 35.000000 2.600000e-02 9.682926e-01 1.054129e-02 1 1 1.005300 1 34
275.300000 W 40.000000 3.320000e-02 9.633276e-01 1.073376e-02 1 1 1.005800 1 34
275.300000 W 45.000000 4.090000e-02 9.472297e-01 8.977307e-03 1 1 1.006300 1 34
275.300000 W 55.000000 5.750000e-02 9.475747e-01 9.893196e-03 1 1 1.007200 1 34
275.300000 W 80.000000 1.008000e-01 9.348207e-01 9.539475e-03 1 1 1.009000 1 34
275.300000 W 90.000000 1.172000e-01 9.407159e-01 9.996485e-03 1 1 1.009500 1 34
275.300000 W 100.000000 1.323000e-01 9.285210e-01 9.316431e-03 1 1 1.009900 1 34
275.300000 W 110.000000 1.460000e-01 9.373695e-01 9.077923e-03 1 1 1.010300 1 34
275.300000 W 120.000000 1.579000e-01 9.431720e-01 9.306921e-03 1 1 1.010600 1 34
275.300000 W 130.000000 1.680000e-01 9.513312e-01 8.061238e-03 1 1 1.010900 1 34
275.300000 W 140.000000 1.763000e-01 9.519431e-01 9.419908e-03 1 1 1.011100 1 34
275.300000 W 150.000000 1.828000e-01 9.464034e-01 9.271723e-03 1 1 1.011300 1 34
298.500000 W 28.000000 2.010000e-02 9.669360e-01 1.041957e-02 1 1 1.004500 1 34
298.500000 W 30.000000 2.290000e-02 9.607313e-01 1.022173e-02 1 1 1.004700 1 34
298.500000 W 35.000000 3.050000e-02 9.578696e-01 1.082339e-02 1 1 1.005300 1 34
298.500000 W 40.000000 3.880000e-02 9.551580e-01 9.680699e-03 1 1 1.005800 1 34
298.500000 W 45.000000 4.780000e-02 9.483486e-01 9.755219e-03 1 1 1.006300 1 34
298.500000 W 50.000000 5.720000e-02 9.449074e-01 1.040704e-02 1 1 1.006800 1 34
298.500000 W 55.000000 6.690000e-02 9.396662e-01 9.356476e-03 1 1 1.007200 1 34
298.500000 W 60.000000 7.690000e-02 9.382437e-01 9.939612e-03 1 1 1.007600 1 34
298.500000 W 65.000000 8.690000e-02 9.383690e-01 1.144443e-02 1 1 1.008000 1 34
298.500000 W 70.000000 9.700000e-02 9.364528e-01 8.002634e-03 1 1 1.008400 1 34
1912.000000 W 111.510000 2.640000e+00 1.113471e+00 2.520250e-02 1 1 1.010400 1 34
2262.000000 W 71.480000 2.640000e+00 1.110343e+00 1.921000e-02 1 1 1.008500 1 34
2842.000000 W 47.440000 2.640000e+00 1.090740e+00 1.290773e-02 1 1 1.006600 1 34
3772.000000 W 31.570000 2.640000e+00 1.085310e+00 8.963794e-03 1 1 1.004900 1 34
4702.000000 W 23.820000 2.640000e+00 1.083773e+00 7.555054e-03 1 1 1.003900 1 34
2262.000000 W 105.700000 3.200000e+00 1.111544e+00 2.946592e-02 1 1 1.010200 1 34
2842.000000 W 59.690000 3.200000e+00 1.101158e+00 1.944472e-02 1 1 1.007600 1 34
3772.000000 W 37.370000 3.200000e+00 1.089640e+00 1.188421e-02 1 1 1.005600 1 34
4702.000000 W 27.570000 3.200000e+00 1.096404e+00 8.959493e-03 1 1 1.004400 1 34
2842.000000 W 95.610000 4.100000e+00 1.084247e+00 3.347266e-02 1 1 1.009800 1 34
3772.000000 W 48.880000 4.100000e+00 1.081704e+00 1.945531e-02 1 1 1.006700 1 34
4702.000000 W 34.230000 4.100000e+00 1.086298e+00 1.325737e-02 1 1 1.005200 1 34
2234.800000 W 21.970000 6.182000e-01 9.812831e-01 1.025074e-02 1 1 1.003700 1 34
1147.800000 W 47.970000 6.200000e-01 9.729868e-01 9.247302e-03 1 1 1.006600 1 34
3114.300000 W 15.970000 6.633000e-01 9.937764e-01 1.109332e-02 1 1 1.002800 1 34
1147.800000 W 59.990000 8.172000e-01 1.007697e+00 9.633106e-03 1 1 1.007600 1 34
1881.700000 W 33.950000 8.995000e-01 1.021637e+00 9.888387e-03 1 1 1.005200 1 34
3114.300000 W 19.460000 9.312000e-01 1.007601e+00 1.052085e-02 1 1 1.003300 1 34
2234.800000 W 31.950000 1.111700e+00 1.038900e+00 1.039388e-02 1 1 1.004900 1 34
5494.100000 W 12.990000 1.342800e+00 1.065202e+00 1.332638e-02 1 1 1.002300 1 34
2234.800000 W 42.970000 1.634800e+00 1.082591e+00 1.212998e-02 1 1 1.006100 1 34
3114.300000 W 32.970000 2.035400e+00 1.077514e+00 1.159676e-02 1 1 1.005100 1 34
2234.800000 W 58.970000 2.246600e+00 1.082663e+00 1.645011e-02 1 1 1.007600 1 34
5494.100000 W 17.960000 2.287800e+00 1.055996e+00 1.327625e-02 1 1 1.003100 1 34
3114.300000 W 40.970000 2.620500e+00 1.084791e+00 1.406135e-02 1 1 1.005900 1 34
2234.800000 W 79.970000 2.780200e+00 1.108183e+00 2.444617e-02 1 1 1.009000 1 34
5494.100000 W 20.470000 2.782200e+00 1.073531e+00 1.320893e-02 1 1 1.003500 1 34
3114.300000 W 49.970000 3.168500e+00 1.087138e+00 1.849520e-02 1 1 1.006800 1 34
5494.100000 W 22.970000 3.268200e+00 1.066778e+00 1.330662e-02 1 1 1.003800 1 34
3114.300000 W 61.970000 3.726100e+00 1.080825e+00 2.499183e-02 1 1 1.007800 1 34
5494.100000 W 25.470000 3.738500e+00 1.053973e+00 1.576679e-02 1 1 1.004100 1 34
4103.900000 W 38.970000 3.798100e+00 1.082317e+00 1.771259e-02 1 1 1.005700 1 34
5494.100000 W 27.970000 4.186700e+00 1.069805e+00 1.593341e-02 1 1 1.004500 1 34
3114.300000 W 77.970000 4.233000e+00 1.050198e+00 3.255493e-02 1 1 1.008900 1 34
4103.900000 W 45.960000 4.400400e+00 1.074185e+00 2.875043e-02 1 1 1.006400 1 34
4412.700000 W 44.980000 4.795700e+00 1.047335e+00 2.818482e-02 1 1 1.006300 1 34
5494.100000 W 32.970000 5.003100e+00 1.043249e+00 1.968619e-02 1 1 1.005100 1 34
4412.700000 W 50.990000 5.261200e+00 1.036758e+00 2.952985e-02 1 1 1.006900 1 34
5494.100000 W 35.480000 5.369900e+00 1.050847e+00 2.490101e-02 1 1 1.005400 1 34
2445.000000 W 20.500000 6.499000e-01 1.032757e+00 1.438732e-02 1 1 1.003500 1 34
845.000000 W 78.500000 6.643000e-01 1.020855e+00 1.421984e-02 1 1 1.008900 1 34
3245.000000 W 28.600000 1.807100e+00 1.100897e+00 1.557347e-02 1 1 1.004500 1 34
1645.000000 W 80.000000 1.826300e+00 1.110334e+00 1.930529e-02 1 1 1.009000 1 34
2445.000000 W 32.000000 1.301400e+00 1.055211e+00 1.475393e-02 1 1 1.005000 1 34
3245.000000 W 50.000000 3.365300e+00 1.089952e+00 2.228817e-02 1 1 1.006800 1 34
2445.000000 W 20.000000 6.231000e-01 1.011196e+00 1.113717e-02 1 1 1.003400 1 34
2445.000000 W 30.000000 1.187300e+00 1.079349e+00 1.298363e-02 1 1 1.004700 1 34
4045.000000 W 24.030000 2.064700e+00 1.105102e+00 1.350080e-02 1 1 1.004000 1 34
4054.000000 W 30.000000 2.789200e+00 1.108731e+00 1.868450e-02 1 1 1.004700 1 34
2445.000000 W 70.010000 2.898200e+00 1.112741e+00 2.343539e-02 1 1 1.008400 1 34
4054.000000 W 39.990000 3.823400e+00 1.081342e+00 2.000696e-02 1 1 1.005800 1 34
4045.000000 W 47.990000 4.461600e+00 1.049628e+00 2.743940e-02 1 1 1.006600 1 34
57.300000 W 86.600000 5.800000e-03 9.883150e-01 1.411200e-02 1 1 1.009300 1 34
82.200000 W 85.300000 1.150000e-02 9.992939e-01 1.435908e-02 1 1 1.009300 1 34
82.400000 W 85.400000 1.160000e-02 9.925976e-01 1.167870e-02 1 1 1.009300 1 34
89.700000 W 85.000000 1.350000e-02 9.953480e-01 1.173616e-02 1 1 1.009200 1 34
95.600000 W 84.700000 1.520000e-02 1.007448e+00 1.187449e-02 1 1 1.009200 1 34
96.400000 W 84.600000 1.540000e-02 9.909017e-01 1.169987e-02 1 1 1.009200 1 34
